Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 67.0.3396.99,,2018-07-01 22:01:20,2018-07-01 22:02:46,1m - 26.225s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 67.0.3396.99,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-07-01 22:01:20,2018-07-01 22:02:05,44.733s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-01 22:01:21,2018-07-01 22:01:21,0.038s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-01 22:01:21,2018-07-01 22:01:21,0.003s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-01 22:01:21,2018-07-01 22:02:00,39.072s,PASSED
click,Chrome 67.0.3396.99,,2018-07-01 22:02:00,2018-07-01 22:02:02,1.981s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-01 22:02:02,2018-07-01 22:02:02,0.198s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-01 22:02:02,2018-07-01 22:02:02,0.210s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-01 22:02:02,2018-07-01 22:02:02,0.002s,PASSED
click,Chrome 67.0.3396.99,,2018-07-01 22:02:02,2018-07-01 22:02:04,1.996s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-01 22:02:04,2018-07-01 22:02:04,0.001s,PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Chrome 67.0.3396.99,,2018-07-01 22:02:04,2018-07-01 22:02:04,0.054s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-01 22:02:04,2018-07-01 22:02:05,0.768s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 67.0.3396.99,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-07-01 22:02:05,2018-07-01 22:02:46,41.051s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-01 22:02:05,2018-07-01 22:02:05,0.003s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-01 22:02:05,2018-07-01 22:02:05,0.001s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-01 22:02:05,2018-07-01 22:02:39,33.493s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-01 22:02:39,2018-07-01 22:02:43,3.833s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-01 22:02:43,2018-07-01 22:02:43,0.001s,PASSED
Statement - If (true),Chrome 67.0.3396.99,,2018-07-01 22:02:43,2018-07-01 22:02:44,1.151s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-01 22:02:44,2018-07-01 22:02:44,0.000s,PASSED
click,Chrome 67.0.3396.99,,2018-07-01 22:02:44,2018-07-01 22:02:45,1.051s,PASSED
verifyTextPresent,Chrome 67.0.3396.99,,2018-07-01 22:02:45,2018-07-01 22:02:45,0.133s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-01 22:02:45,2018-07-01 22:02:45,0.001s,PASSED
Statement - If (true),Chrome 67.0.3396.99,,2018-07-01 22:02:45,2018-07-01 22:02:45,0.317s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-01 22:02:45,2018-07-01 22:02:46,0.855s,PASSED
