Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
All,Chrome 71.0.3578.98,,2018-12-27 15:27:38,2018-12-27 15:27:59,20.420s,PASSED
,,,,,,
Test Cases/Python Test Cases/Python Do Something On Web,Chrome 71.0.3578.98,,2018-12-27 15:27:38,2018-12-27 15:27:57,18.178s,PASSED
"openBrowser(""https://www.katalon.com"")",Chrome 71.0.3578.98,,2018-12-27 15:27:39,2018-12-27 15:27:47,8.527s,PASSED
demo.PythonKeywords.gotoGoogle(),Chrome 71.0.3578.98,,2018-12-27 15:27:47,2018-12-27 15:27:56,8.537s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-27 15:27:56,2018-12-27 15:27:57,0.744s,PASSED
,,,,,,
Test Cases/Python Test Cases/Python Hello World,Chrome 71.0.3578.98,,2018-12-27 15:27:57,2018-12-27 15:27:58,1.962s,PASSED
"demo.PythonKeywords.helloWorld(11, 15)",Chrome 71.0.3578.98,,2018-12-27 15:27:57,2018-12-27 15:27:58,1.754s,PASSED
